Log4j2, CVE-2021-45046
Wire, privacy nightmare
web application firewalls, cross-site forgery
SpoolFool, vulnerabilities in Exchange Servers
SiteManager, CVE-2020-11642
Microsoft Teams, IP address leak
infusion pumps, access to sensitive data
Steam, CVE-2020-6018
TikTok Pixel, rogue pixel
iOS, CVE-2021-30869
Plex, CVE-2020-5741
Cobalt Strike, ProxyLogon
Firefox for Android, CVE-2022-1802
vm2, CVE-2023-29017
Azure, unpatched vulnerability
SMA 410, multiple security vulnerabilities
BlastDoor, zero-click attacks
CDNs, vulnerable versions of e-commerce platforms
SAP applications, CVE-2018-2380
RATDispenser, anti-disassembling
3CXDesktopApp, hands-on-keyboard activity
APIs, misconfigurations
HEVC Video Extensions, CVE-2022-21844
WebKit, CVE-2023-23529
Google Voice, expired TLS certificates
Microsoft's Active Directory, breached password list
Chrome version 104, clipboard poisoning attack
NetScan, one-day exploits
Apache Log4j, remote code execution
GitKraken, CVE-2021-41117
middleboxes, DoS amplification attacks
Apache HTTP Server, CVE-2022-22721
Maven, vulnerabilities
GG18, CVE-2023-33242
Log4j, critical security flaw
Microsoft, CVE-2020-1472
Remote PowerShell, compromised credentials
Windows CryptoAPI, CVE-2022-34689
Netwrix Auditor, CVE-2022-31199
GitHub, plaintext user credentials
RV345 Series routers, CVE-2022-20707
Exchange Server, CVE-2023-28310
vRealize Suite Lifecycle Manager, CVE-2021-22025
Managed Service Provider (MSP) service, zero-day vulnerabilities
TP-Link Archer AX-21 routers, CVE-2023-1389
UEFI, CVE-2021-3970
EDR, ransomware
Craft CMS, CVE-2023-30177
Argo CD, CVE-2022-24348
PTaaS, cross-site scripting (XSS)
OpenAI Playground, XSS testing
Universal Copy Service, CVE-2023-1966
Stoic Surgeon, zero-day exploits
VMware ESXi, TELNET
Indirect Branch Restricted Speculation, Retbleed
Zen 2, SQUIP
Microsoft's Antimalware Scan Interface, AMSI
Windows, Follina
Microsoft, unpatched server flaws
GitHub, repository hijacking
cloud-based technologies, misconfigurations
Firefox, CVE-2022-1529
Cisco Nexus 3000 Series Switches, CVE-2021-1361
Modbus, CVE-2021-22640
ASRock-signed motherboard driver, CVE-2020-15368
OSV-Scanner, C/C++ flaws
SureMDM, escalate privileges
Juniper firewall, CVE-2023-36846
Data Center, CVE-2022-43781
Juniper firewall, CVE-2023-36845
Secure Mobile Access, CVE-2019-7481
LayerX, malicious browser extensions
Intel CPUs, Spectre-V2
Contacts, going dark
POX, leak of login names and passwords
Omron, OT:ICEFALL
rundll32, Supply chain attacks
NetScaler Application Delivery Controller, CVE-2023-3519
Bluetooth chips, CVE-2020-12351
malware, security holes
Microsoft Windows, CVE-2020-17087
Lazy Mouse, CVE-2022-45478
Ultimate Malware Reverse Engineering Bundle, Trojan horses
RV215W, CVE-2021-1295
iOS, CVE-2021-1782
network slicing, jamming
Heroku, theft of GitHub integration OAuth tokens
Microsoft Office, zero-day flaw
Small Business routers, CVE-2021-1329
generative artificial intelligence, model theft
Atlassian Confluence, CVE-2022-22965
HID Mercury access controller system, CVE-2022-31481
Windows File Explorer, Follina
Android, accessibility services API
Small Business RV160, CVE-2022-20708
Common Weakness Enumeration, unpatched vulnerabilities
Fortinet FortiOS, CVE-2023-27997
OpenSSL, CVE-2021-3712
Windows, CVE-2021-31166
TMUI, CVE-2023-46747
ArubaOS, CVE-2023-22750
Small Office/Home Office (SOHO) routers, security flaws in network devices
WhatsApp, two-factor authentication (2FA)
Microsoft, CVE-2022-44681
Guardicore, back-off mechanism
Lenovo ThinkPad X13s laptops, CVE-2022-40516
GuLoader, anti-analysis
Linux, CVE-2023-4911
Slack, unauthorized use
Android device, unreleased exploits
TLS-RPT, ransomware
NextSeq 550Dx, critical security vulnerabilities
OpenOffice, stored cross-site scripting flaw
ScreenConnect, CVE-2020-1472
Cisco Catalyst Passive Optical Network (PON) Series Switches Optical Network Terminal (ONT), CVE-2021-40112
Squirrel Engine, CVE-2021-41556
Zero2Automated, viruses
Samsung handsets, flaws in Samsung devices
Easergy P3, multiple vulnerabilities
Automated Security Validation, common vulnerabilities and exposures
CRI-O, CVE-2022-0811
Crypto Application Server, bug in the CAS admin interface
Outlook Web Access, zero-day vulnerability
Safari 16.2, CVE-2022-42856
Progress Telerik, CVE-2017-11357
Nagios XI AutoDiscovery tool, CVE-2021-37343
Dropbox, cache-based targeted de-anonymization attack
G-Suite, misappropriated privileges
HTShell, Exchange server flaws
Big Sur, CVE-2022-42821
Intruder, vulnerability scans
UAParser.js, cryptocurrency mining
Linux kernel, CVE-2021-33909
vSphere Hypervisor, lack of adequate network segmentation
Binance, secrets
Modbus, CVE-2021-22642
IAM, Vulnerabilities
Indusface's AppTrana, DDoS
Adreno GPU, CVE-2023-33063
Zoom, CVE-2022-22784
PowerLess Backdoor, Log4Shell
Ubuntu 20.04, CVE-2021-3156
End-user Experience Monitoring, CVE-2020-6207
LayerX, data leakage
APIs, malicious code injections
Small Business routers, CVE-2021-1320
Google Chrome, CVE-2019-5782
iOS, CVE-2023-38606
SynAck, security vulnerabilities
Pling platform, RCE vulnerability
Software Development Life Cycle, exploitable holes
Windows executable, trojanized version
WebKit, CVE-2021-1870
Mojave, CVE-2021-3156
Adaptive Shield, insufficient identity checks
DoH, DNS cache poisoning
cpio, CVE-2015-1197
RV260, CVE-2022-20707
Garrett Metal Detectors, bypass authentication
FortiNAC, CVE-2023-33299
Unified CCMP, CVE-2022-20658
Apache's Log4j, CVE-2021-44228
Fortinet FortiOS, CVE-2022-41328
Git, CVE-2022-41903
STARTTLS, DNS spoofing attacks
Microsoft 365, Exchange Server
Tor Browser, XS-Leaks
Craft CMS, CVE-2023-31144
3CXDesktopApp, supply chain attack
LibreOffice, CVE-2022-26307
Microsoft Exchange, CVE-2021-26855
SEL Real Time Automation Controller (RTAC) suite, CVE-2023-31150
Microsoft Active Directory, AS-REP Roasting
Synology DiskStation Manager, CVE-2022-23122
Bluetooth 5 chips, CVE-2020-24490
BLUELIGHT, CVE-2021-26411
Cisco Jabber, CVE-2021-1417
JSON-RPC, known vulnerability
Telepad, CVE-2022-45477
business applications, critical vulnerabilities
Software Development Life Cycle, business logic vulnerabilities
ConnectedIO platform, vulnerabilities in ConnectedIO's ER2000 edge routers
IaC, insecure network configurations
Chaos, CVE-2022-30525
Log4j, Log4j injections
Win32k kernel driver, CVE-2021-40449
Linux kernel, DirtyCred
Spring framework, CVE-2022-22963
Zoom, CVE-2022-22787
Moovit, CVE-2020-8913
Gentoo Soko, SQL injection
Compute DSP drivers, CVE-2023-33063
MoveVM, integer overflow vulnerability
HTC, supply-chain compromise
Apple iOS, zero-day vulnerabilities
industrial control systems, known but unpatched common vulnerabilities and exploits
Unicode, Case Mapping Collision in Unicode
Android System apps, CVE-2021-42598
Python packages, dependency confusion
WebKit, CVE-2021-30936
SonicOS, CVE-2020-5135
Cisco, Raccoon
Canonical's Snap, CVE-2021-44731
Win32/StealthFalcon, CVE-2018-8611
PowerShell API, uncontrolled access
mySCADA myPRO, CVE-2023-28384
Experion Process Knowledge System, denial-of-service
vCenter Server, CVE-2021-22005
Zoom, policy changes and violations
Orion, SUNBURST
Artificial Intelligence, unforeseen risks
BIND 9, denial-of-service
Windows, CVE-2021-27065
Linux, Dirty Pipe
IBM Cost of a Data Breach Report 2021, data breaches
LibreOffice, CVE-2021-25636
Apple Neural Engine, CVE-2022-32829
Uber, MFA Fatigue attack
INISAFE CrossWeb EX, Log4Shell
Microsoft account, zero-day vulnerability
business applications, known vulnerability
Zoho ManageEngine ADSelfService Plus, CVE-2021-40539
SaaS, Credential reuse
EDR, Defender-Pretender
BlastDoor, zero-day
Windows Active Directory Certificate Services, NTLM relay attack
Android, privacy leakages
Chromium-based Edge browser, CVE-2023-21715
@soc-fe/use, malware
Microsoft, CVE-2023-24932
SafeDNS, intrusion
Microsoft Windows, EternalBlue (MS17-010)
SaaS, Weak Authentication Techniques
Sophos Firewall, zero-day vulnerabilities
Zoom, buffer overflow attacks
GAIROSCOPE, optical covert channel
FortiWeb, CVE-2021-22123
Exchange Server, CVE-2022-21855
RV260W, CVE-2021-1293
Windows Internet Key Exchange, Log4Shell
Unicode, CVE-2021-42574
VMware vRealize Automation, CVE-2022-22954
EvilProxy, 2FA
Microsoft, CVE-2022-41033
desktops, memory corruption vulnerabilities
Adobe Acrobat, CVE-2021-28550
RSB stuffing, Retbleed
SaaS Security on Tap, misconfiguration
PEAR PHP repository, directory traversal bug
FrozenCell, zero-day exploits
Microsoft Office, CVE-2022-21907
GitLab, CVE-2023-3932
Salesforce, risky shares
Google-signed shim image, Shady Hacking 1nstrument Makes Machine Enrollment Retreat
SSPM, vulnerabilities
Specops Password Policy, compromised credentials
VMware, CVE-2023-20871
VMware Tools for Windows, CVE-2021-21999
KGUARD DVR, vulnerable code
web application firewalls, chainloading attacks
Shopify, remote code execution
Photo Station, zero-day flaw
V8 JavaScript engine, CVE-2023-2033
Siloscape, misconfigurations
Baidu Maps, data leak
XS-Leaks, Spectre
WinRAR, CVE-2023-40477
Specops Password Auditor, breached password data
Huawei Pro P40 5G, man-in-the-middle (MitM)
TV-7104HE 1.8.4 115215B9, CVE-2016-20016
Discord tokens, typosquatting
Content Disarm and Reconstruction (CDR), malware
iOS, CVE-2023-23530
Synology Router Manager, CVE-2022-23121
Domain Name System, name collisions
RV Series routers, CVE-2022-20700
FortiOS, CVE-2019-5591
WebRTC, CVE-2022-2294
ASN.1, CVE-2022-43677
Angular, Log4Shell
Soko, CVE-2023-28424
CasaOS, CVE-2023-37265
GitHub Co-pilot, data leaks
curl, CVE-2022-21907
OpenSSL library, CVE-2022-2274
Android smartphones, unauthorized firmware modifications
Microsoft Exchange Server, zero-day vulnerabilities
Citrix ADC, CVE-2019-19781
Google Chrome, CVE-2021-4102
RV160, CVE-2021-1297
Python-based reverse shell, stolen credentials
Azure Container Registry, cross-site scripting (XSS) flaws
WELLMESS, CVE-2019-19781
ctx, account takeover
PowerShell, CVE-2022-41082
Microsoft Office, CVE-2022-21846
VMware ESXi, CVE-2020-3992
ACPI, unpatched weakness
Microsoft 365, password attacks
Google Analytics, vulnerability exploitation
PSexec, misconfigurations
Conti, CVE-2018-13374
OSV, Log4Shell
Amazon Alexa, Light Commands
Azure Kubernetes, file upload vulnerabilities
Fusion, CVE-2022-31705
Swagger, weak authentication
Dell BIOS, CVE-2022-24416
macOS Monterey 12.3.1, CVE-2022-22674
sshd, double free
Apple's M1 processor, PACMAN
WhatsApp, zero-click attacks
Enterprise Edition, CVE-2022-0735
VPN, malware attacks
Chrome, CVE-2020-16013
Sunburst, credential theft
Apache, unpatched versions of Apache
SWIFT network, supply chain attacks
Garrett Metal Detectors, tamper with configurations
SaaS, outdated software
Exchange Servers, ProxyLogon
Fortinet SSL-VPN, CVE-2023-27997
SMA 100 series, eight security vulnerabilities
Microsoft, CVE-2023-36434
Microsoft Internet Explorer, CVE-2021-1732
Word, CVE-2021-31939
Netgear smart switches, Seventh Inferno
Kerberos, ransomware spread
Python Package Index, malware
DNS Resolver, CVE-2020-25705
DevSecOps, security vulnerabilities
Windows Print Spooler, PrintNightmare
Carbon Black App Control, CVE-2022-22951
application programming interfaces, human error
Siemens SINEC INS, CVE-2022-45092
Fodcha, CVE-2021-22205
MonoX Finance, smart contract error
PayPal, remote code execution
Sage X3 HR & Payroll, CVE-2020-7389
DMARC, email phishing
SSO, SSO vulnerabilities
Windows Remote Desktop Protocol, CVE-2022-21893
Citrix ADC, CVE-2022-27516
VMware, CVE-2022-22966
C, buffer overflow
RV160W, CVE-2021-1289
VPN virtual server, CVE-2023-4966
FortiNAC, CVE-2022-39952
PsExec, stolen credentials
UEFI firmware, CVE-2022-1890
Rust, CVE-2021-42694
Atlassian, CVE-2023-22518
APIs, Exposed Servers
Microsoft Visual Studio, CVE-2023-28299
SINEC, CVE-2021-33729
VPN, split-tunnel VPN configurations
Microsoft Windows Certificate Dialog, CVE-2019-1388
PowerDMARC's DMARC report analyzer, domain spoofing
iPadOS, CVE-2023-23529
runtime protection, SQL injection
ITDR, IP behavior anomalies
VoIPmonitor, SQL injects
Microsoft, Human Operated Ransomware
Adobe Acrobat, CVE-2020-9592
Aria Operations for Networks, CVE-2023-20887
ChiserClient, Internet Information Services (IIS) servers
requests library, fake modules
AP Controller, CVE-2022-26532
Adobe ColdFusion, CVE-2023-26360
Realtek SDK devices, CVE-2014-8361
ARM Cortex-M4 CPU, side-channel attacks
Cloudflare Tunnels, brute-force login attacks
npm, supply chain attack
HotJar, CVE
NSO Group, zero-day vulnerabilities
Unified Identity Protection, lateral movement
WPA2, FragAttacks
Libgcrypt, heap buffer overflow
OAuth 2.0, malicious third party apps
BugDrop, overlay attacks
Google Chrome, CVE-2020-8913
Samsung, CVE-2023-26083
Safari, iLeakage
Bitbucket Server, CVE-2022-23531
Redis, CVE-2018-11218
intrusion prevention systems, DDoS reflected amplification attacks
Zyxel firewall, CVE-2022-30525
Vulnerability Management, CVE
Exchange Autodiscover service, leak of login names and passwords
Salesforce, Remove View All Users Permission from Guest User Profiles
Small Business routers, CVE-2021-1341
Heroku, unauthorized access
.NET-based backdoor, DNS Hijacking
Salesforce, security holes
Rockwell Automation ControlLogix EtherNet/IP (ENIP) communication module, CVE-2023-3595
Siemens Automation License Manager, CVE-2022-43513
Windows, scheme flooding
Google Chrome, CVE-2021-30551
LibreOffice, one-click vulnerabilities
SUSE, CVE-2021-22600
Red Hat, Looney Tunables
Mongall, CVE-2010-3333
Small Business routers, CVE-2021-1291
Google Drive, SSL-based attacks
SonicWall VPN appliances, CVE-2021-20016
Windows, Transactional NTFS
virtualized network functions, CVD-2021-0047
Heliconia, n-day vulnerabilities
Fortinet, arbitrary delete vulnerabilities
Festo automation controllers, CVE-2022-3270
Slack, misconfigurations
Hopper, insecure credential storage
scrapy, typosquatting
Microsoft 365, SharePoint systems
AnyDesk, vulnerable WordPress engines
Malwarebytes, malware
MFA, data exfiltration
containers, malware
MITRE ATT&CK framework, company websites vulnerabilities
Pac-Resolver, CVE-2021-23406
macro-laced Microsoft Excel documents, phishing
deep-translator, malware
T'Leva, misconfigurations
SolarWinds Access Rights Manager, CVE-2023-35185
ProxyLogon Microsoft Exchange Server vulnerabilities, Microsoft Windows
Airspan AirSpot, CVE-2012-4869
RV042, CVE-2021-1317
Cisco IOS XE, CVE-2021-1619
macOS, malware
D52BQ-2U, Pantsdown
Dropbox, source code leaks
VMware, CVE-2022-31664
Fedora 33, CVE-2021-3156
Microsoft Windows Support Diagnostic Tool, Follina
intrusion prevention systems, TCP-non-compliance
Azure Defender for IoT, heap overflow
iPadOS, zero-day vulnerabilities
Atera, CVE-2023-26078
OpenTelemetry, weak authentication
SureMDM, issues identified in the web dashboard
MS-EFSRPC, PetitPotam
F5 appliances, N-day security vulnerability
AMD, Retbleed
Lemon Group, zygote process modification
Zero Trust Network Access, keyloggers
Linux, file transfer protocol (FTP)
Slack, flaw
devices, vulnerable
ERP system, CVE
Synology DiskStation Manager, CVE-2022-0194
networkd-dispatcher, CVE-2022-29799
Windows, CVE-2017-0144
FRRouting, vulnerable code pattern
BRATA, banking trojan
Win32k, CVE-2021-28310
QuTS, CVE-2022-23123
APIs, DDoS
Small Office/Home Office (SOHO) routers, unpatched internet-facing asset
Game Networking Sockets, CVE-2020-6017
Microsoft, security threats
Nmap, zero-day vulnerabilities
smart switches, Seventh Inferno
Passwordstate, improper authorization flow
HP enterprise devices, memory corruption vulnerabilities
PlugX, Log4Shell
VMware Aria Operations for Logs, CVE-2022-31704
Transparency, Consent and Control (TCC), CVE-2020-9934
RIG exploit kit, CVE-2019-0752
NETGEAR DGN2200v1, HTTPd authentication security weaknesses
SharePoint Server, CVE-2022-21969
Windows Defender Application Control, unpatched weakness
RV110W, CVE-2021-1296
BackupEventLogW, OverLog
Kernel, CVE-2022-32815
Cobalt Strike, endpoint detection and response (EDR)
Lockheed_Martin_JobOpportunities.docx, zero-day vulnerabilities
HookSignTool, bypass digital rights management
Slack, zero-click remote code execution (RCE) bug
Microsoft, training-data poisoning
Music, firewall bypass
Microsoft Exchange, ZDI-CAN-18333
Zoho ManageEngine ADSelfService Plus, CVE-2021-33055
iCloud, firewall bypass
Microsoft, validation error
Windows Server Service, CVE-2022-24541
Arm CSV2, Spectre-V2
telematics solution, issues
Fortinet, DLL hijacking flaw
DRAM, Half-Double
BRATA, Accessibility Service permissions
macOS, CVE-2020-27937
Wi-Fi, FragAttacks
MoonBounce, SPI flash
Arm Mali GPU driver, CVE-2021-29256
TMUI, CVE-2020-5902
LayerX, browser data loss
Smart contracts, reentrancy
American Megatrends (AMI) MegaRAC BMC software, CVE-2023-34392
ProxyLogon Microsoft Exchange Server vulnerabilities, ShadowPad
SaaS applications, data leakage
Norton Antivirus, spyware
VP9 Video Extensions, CVE-2022-24501
SMS PVA services, SMS-intercepting malware
Fortinet FortiGuard, CVE-2022-42475
NodeStealer, NodeStealer
SaaS, API takeovers
Okta, source code leaks
Apache HTTP Server, CVE-2019-0211
TCG reference implementation, CVE-2023-1017
DTLS, DDoS
Play Store, keylogger functionality
Chromium-based web browsers, CVE-2021-30533
Apple iOS, CVE-2019-8605
PowerSPF, ransomware
TrickBot, EternalRomance
Pulse Secure VPN, CVE-2021-22893
ANY.RUN, Trojan horses
Small Business routers, CVE-2021-1342
The Ultimate 2020 White Hat Hacker Certification Bundle, zero-day vulnerabilities
XSPM, exploitable holes
IBM's Weather Channel, hardcoded private Amazon Web Services (AWS) keys
Windows domain controllers, CVE-2021-34527
SUNBURST, malicious executable
Skipped, one-day exploits
cloud technology, DDoS
Black Basta, ZeroLogon
LibraryCare, Log4j vulnerability
Boa, CVE-2017-9833
SaaS applications, logic flaws
Microsoft Exchange, remote code execution
noblox.js-proxy, remote access trojans
Chromium, buffer overflow
TeamCity Server, CVE-2023-42793
review-cask-pr, security vulnerability
VMware ESXi, end-of-life ESXi servers
npm, ransomware
WormGPT, jailbreaks
Nexus 5600 Platform Switches, CVE-2022-20650
MegaCortex, phishing emails with malicious attachments
Office for Android, CVE-2023-23391
macOS, memory corruption vulnerabilities
Katana, remote code execution vulnerabilities
Cobalt Strike, Log4Shell
Fodcha, default passwords
Exchange Server, CVE-2022-21969
Infinite API Scanner, DDoS attacks
Python interpreter, Unicode
BIG-IP, CVE-2023-46747
Windows, CVE-2017-0145
Royal, zero-day vulnerabilities
Google Workspace, phishing attack
Hive, brute-force attacks
iOS 12.5.4, CVE-2021-30761
Vulnerability Rewards Program, adversarial perturbation attacks
Tesla bot, remote code execution
Exchange PowerShell, CVE-2021-34523
3810 Series, remote code execution vulnerabilities
Yandex Browser, Universal Cross-site Scripting (UXSS)
Chrome browser, CVE-2020-16009
Network Detection & Response, critical vulnerabilities in database software
Windows Electron client, DLL side-loading technique
APK, keylogging
Azure Database for PostgreSQL Flexible Server, ExtraReplica
Debricked, vulnerabilities
Predator, zero-click exploits
Windows operating system, Spectre
Cisco StarOS Software, CVE-2022-20649
Azure Apache Ambari, CVE-2023-36884
IndexedDB API, IndexedDB Leaks
Slack, MFA fatigue
QNAP, CVE-2022-22721
Archive Utility, CVE-2022-32910
Zombinder, Restricted Settings
ChatGPT, data retention
MISP, Snake malware
UEFI system firmware, CVE-2023-40287
AWS S3, misconfigurations
Ivanti Avalanche, CVE-2023-32561
Amazon APIs, broken authentication
DMARC, Ransomware
vulnerability detector module, PCI-DSS
Bluetooth Special Interest Group, impersonation attacks
iOS, CVE-2020-3843
Active Directory Certificate Services, CVE-2022-37976
Apple Safari, Hot Pixels
Windows SmartScreen, CVE-2023-24880
npm, infection techniques
Unified Extensible Firmware Interface, CVE-2022-34302
ClamAV, CVE-2023-20032
Zscaler Zero Trust Exchange, obfuscation techniques
Python Package Index, account takeover attacks
Cisco routers, old, known vulnerability
Cloud Security Posture Management tools, security holes
LibreOffice, remote code execution
macOS, buffer overflow attacks
Small Business routers, CVE-2021-1292
Sigma Spectrum Infusion systems, access to sensitive data
Base Log File, CVE-2022-37969
NetScaler, DDoS amplify attack
ShareBear, design flaw
EMV contactless protocol, PIN bypass attack
RV215W Routers, CVE-2021-1459
TrickBot, firmware vulnerabilities
Log4j, Log4j logging library
Dell PowerConnect 6224 Switches, remote code execution vulnerabilities
Web Application Firewall, Distributed denial of service
Identity Threat Detection and Response, Exposure
Elastic server, misconfiguration
Android Open Source Project, Bluetooth authentication procedure
A-series CPUs, iLeakage
System Management Mode, memory corruption vulnerabilities
macOS, scheme flooding
moduNet300, CVE-2023-0052
SolarWinds, easily accessible password of 'solarwinds123'
Global Management System, CVE-2023-34136
SITA PSS, cyber attack
Exim, CVE-2023-42114
CODESYS V3, CVE-2022-47384
Excel, CVE-2021-31174
USG20(W)-VPN, CVE-2023-27991
Small Business routers, CVE-2021-1332
SonicWall, zero-day vulnerabilities
Cynet, ransomware
QNAP NAS, CVE-2020-2507
web browsers, side-channel attack
API security, Security Misconfiguration
Kubernetes, weak authorization
Small Business 500 Series Stackable Managed Switches, denial-of-service (DoS) condition
W4SP Stealer, polymorphic malware
Identity Threat Detection & Response, password-based attacks
Wing Security, auto-email forwarding
Microsoft Excel, infostealer malware
B1txor20, Log4j vulnerability
Active Directory Domain Services, CVE-2021-42278
CASB, account takeover
PTaaS, SQL Injection
Hermit, CVE-2021-30983
Internet tools, DDoS
Fusion, CVE-2023-20871
Vivaldi, CVE-2022-4135
Nexus 3000 Series Switches, CVE-2022-20650
Apache Log4j2, CVE-2021-45046
McAfee, file corruption vulnerability
SprySOCKS, CVE-2019-9670
STARTTLS, MITM
iPadOS, doorLock
APIs, API-related breaches
Honda HR-V, CVE-2019-20626
OAuth, unauthorized access
VPN products, CVE-2023-33009
Rarible, security flaw
Microsoft Malware Protection Engine, CVE-2021-1647
WordPress, Arbitrary Options Update vulnerabilities
PowerShell, secrets exposure
Nova 220, CVE-2023-0052
NXP JavaCard chips, CVE-2021-3011
unc0ver, CVE-2021-1782
Google Play, session cookies
SIM card, man-in-the-middle attacks
EpMe, CVE-2017-0005
Quram qmg library, SVE-2020-17675
G-Suite, misconfigurations
VMs, Credential reuse
VMware Workspace ONE UEM console, CVE-2021-22029
RDP, lateral movement
NginRAT, vulnerable versions of e-commerce platforms
Google Messages, zero-click attacks
PowerDirector, CVE-2020-8913
AES, side-channel attacks
web console, issues identified in the web dashboard
FunnySwitch, Log4Shell
Windows, ProxyLogon
Windows Network File System, CVE-2022-24491
Perfect PDF, CVE-2020-9596
ChatGPT, data leaks
Specops Password Policy, breached password list
RMA disk image, Shady Hacking 1nstrument Makes Machine Enrollment Retreat
iOS, denial of service
Qualcomm Graphics, CVE-2021-1905
LolZarus, zero-day vulnerabilities
Wago, CVE-2022-45139
Adobe ColdFusion, CVE-2023-38203
QNAP NAS devices, CVE-2022-27596
AMD processors, Hertzbleed
Azure portal, HTTP(S) flood attacks
Google Play, ransomware
Atos Unify OpenScape, CVE-2023-36619
QNAP VS Series NVR, CVE-2022-27588
Operational Technology (OT) devices, INFRA:HALT
WhatsApp Business, CVE-2022-36934
Windows 10, CVE-2021-24084
IoT devices, unpatched
Heroku Dashboard, unauthorized access
MEGA, RSA Key Recovery Attack
Windows Server 2022, CVE-2022-21882
audio modules, BrakTooth
Samsung, hacked
Mirai, VisualDoor exploit
SCSI CD/DVD device, CVE-2023-20872
OpenOffice, code execution
Norton Antivirus, malware
SD-WAN vManage Software, CVE-2021-1508
Windows NT LAN Manager, CVE-2021-1678
Confluence, CVE-2023-22515
Synology DiskStation Manager, CVE-2022-23121
Windows operating system, Follina
OpenHaystack, undetectable tracking device
Exchange Server, CVE-2020-17084
tar.gz, malicious code execution
Bing Chat, prompt injection
SEL Real Time Automation Controller (RTAC) suite, CVE-2023-31154
iOS, OS vulnerabilities
Side Cart Woocommerce, CVE-2022-0215
SiteManager, CVE-2020-11645
SWIFT network, DDOS
FortiProxy, CVE-2022-40684
multipathd, CVE-2022-41974
embedded software development kits, remote code execution vulnerabilities
OpenTelemetry, data breaches
AnyDesk, vulnerabilities in Exchange Servers
S.O.V.A., DDoS attacks
Netlogon, CVE-2020-1472
NTLM, lateral movement
Discord, one-day exploits
MITRE, Improper Restriction of XML External Entity Reference
Almond RAT, CVE-2018-0798
Salesforce, Enforce OAuth Scope for Lightning Apps
SolarWinds, SUNBURST
Pinterest Automatic, Arbitrary Options Update vulnerabilities
MalLocker.B, SYSTEM_ALERT_WINDOW
macOS, keyloggers
Zoom, zero-click attack
Credential Roaming, CVE-2022-30170
VMware ESXi, lack of security tools
macOS Catalina, CVE-2022-22616
HP OMEN driver software, CVE-2021-3437
WebKit, CVE-2022-22620
UAParser.js, compromised packages
Wazuh vulnerability detector module, CVE
systemmigrationd, CVE-2023-32369
Adaptive Security Device Manager Launcher, CVE-2021-1585
Chromium, use-after-free
Single Sign-on (SSO), consent phishing
Powerless Backdoor, zero-day vulnerabilities
CVE-2017-5715, Spectre-V2
iPadOS, CVE-2023-32409
Autopatch, zero-day flaw
Web Application Firewall, DDoS attack
Windows, vulnerability
C200E, remote code execution
Jetson Linux, CVE‑2021‑34397
Small Business routers, CVE-2021-1347
DevOps, security vulnerabilities
Android, overlay attacks
Microsoft, compromised identity
Bluetooth Core, Bluetooth authentication procedure
3AM, zero-day vulnerabilities
ESXi servers, compromised credentials
shineouts, malware
ETHERLED, optical covert channel
VPN products, CVE-2023-33010
Intelligent Platform Management Interface, CVE-2023-40289
toasters, remote code execution
Juniper firewalls, CVE-2023-36844
Windows Server Service, CVE-2022-30216
GitHub, supply chain attacks
Zoom's Zero Touch Provisioning, lack client-side authentication mechanisms
dnsmasq, DNS spoofing
Liferay, vulnerable versions of Liferay
Microsoft Active Directory, compromised credentials
Security Update 2021-005 Catalina, CVE-2021-31010
FORCEDENTRY, iOS/macOS
Chrome, CVE-2021-30551
macOS, weaponized 'zero-day' exploits
named, CVE-2022-3488
Threema, privacy nightmare
Windows Encrypting File System, CVE-2021-43217
Firmware, CVE-2022-40520
Windows, CVE-2022-34722
vCenter Server, CVE-2021-21980
USB hub splitters, TEMPEST attack
Microsoft, CVE-2021-28444
Orion Web Console, JSON deserialization flaw
WinZip Enterprise, vulnerabilities in third party software
Spring WebFlux, CVE-2022-22965
OTel, data breaches
Analytics, CVE-2023-34126
Synology Router Manager, CVE-2022-0194
Unified Extensible Firmware Interface, CVE-2022-3432
Mozilla Firefox, CVE-2022-32893
HTTPS/TLS, unauthorized access
Google Chrome, XS-Leaks
ITDR, Vulnerabilities
Apache Tomcat, CVE-2023-35078
MySQL database, directory traversal vulnerability
Azure, cache bypass
VS Code extensions, supply chain attacks
Extended Security Posture Management, business logic vulnerabilities
Windows, CVE-2019-0859
iOS, CVE-2023-37450
Networking devices, PaperCut vulnerabilities
PDF reader, phishing webpages
Teams, HTTP(S) flood attacks
Mozilla Firefox, zero-day flaws
DNS over HTTPS, DNS cache poisoning
RV345 Series routers, CVE-2022-20708
Ruby, CWE-502
Windows COM+ Event System Service, CVE-2022-41033
GoDaddy Managed WordPress, phishing attacks
Game Networking Sockets, CVE-2020-6016
T5-3B, backdoor attacks
Microsoft Office, CVE-2022-21840
Microsoft, CVE-2021-26855
Windows 11, CVE-2021-36934
PowerShell Gallery, typosquatting attacks
Cisco WLC Software Release 8.10.151.0, CVE-2022-20695
Small Business routers, CVE-2021-1334
Siemens SINEC network management system, CVE-2021-33736
PAExec, phishing
mifs web application, CVE-2023-35082
Internet tools, Insufficient Monitoring
Hubspot, misconfigurations
iOS 16, state-sponsored surveillanceware
com.securedata.vpn, CVE-2019-2215
Equation Editor, CVE-2017-11882
Google, CVE-2021-30554
WebView, JavaScript injection
API, verbose error messages
YouTube, pass-the-cookie attack
WhatsApp, Harvest Now, Decrypt Later
Apple iOS, CVE-2020-3837
API management suites, weak authorization
iOS, CVE-2022-42856
